,n,autodiff_mode,exp_type,error,time,log_error,log_time,exp_and_mode
136,3,rev,yield,1786.9010367773762,5.820834133,3.252100500814752,0.7649852240659912,yield_rev
137,3,rev,yield,488.7705081801464,6.129580585,2.6891049932225717,0.7874307590450453,yield_rev
138,3,rev,yield,69.25622677777223,5.956559184,1.8404588265979165,0.7749954612638474,yield_rev
139,3,rev,yield,10.260711185649809,6.336307182,1.0111774634365338,0.8018362235394096,yield_rev
140,3,rev,yield,36.76176939455954,6.152497339,1.5653964064083126,0.7890514345393478,yield_rev
141,3,rev,yield,657.6250997162691,6.069638228,2.8179783806576726,0.7831628063527637,yield_rev
142,3,rev,yield,127.89141274640609,6.076022922,2.1068413848066236,0.7836194035843196,yield_rev
143,3,rev,yield,30.11484307574589,6.221610619,1.478780604464421,0.7939028271983808,yield_rev
144,3,rev,yield,1081.0640155529543,6.40715901,3.0338514116020128,0.8066655022513651,yield_rev
145,3,rev,yield,100.28030893815699,6.018102202,2.001215663239212,0.7794595588423715,yield_rev
146,3,rev,yield,10.37497770723693,6.128693372,1.0159871722145506,0.7873678934716053,yield_rev
147,3,rev,yield,1.9037022511807202,5.751007746,0.2795990234701436,0.759743952546915,yield_rev
148,3,rev,yield,392.14422923592775,7.040786402,2.5934458283492114,0.847621169223831,yield_rev
149,3,rev,yield,185.59147486705052,6.337736229,2.268558023050778,0.8019341602765636,yield_rev
150,3,rev,yield,368.8206627467277,5.924335006,2.566815243904122,0.7726396087862991,yield_rev
151,3,rev,yield,903.1899778894751,6.399526347,2.955779109860837,0.806147831406302,yield_rev
152,3,rev,yield,487.7819005584781,7.526849611,2.688225681518075,0.8766132387703798,yield_rev
153,3,rev,yield,307.62636999876497,6.264591602,2.488023560824078,0.7968927639528284,yield_rev
154,3,rev,yield,1748.4339874287755,6.138011629,3.2426492400558367,0.7880277069054724,yield_rev
155,3,rev,yield,647.0550016279069,6.237614919,2.810941198579423,0.795018559950535,yield_rev
156,3,rev,yield,516.5843685848197,5.685005636,2.71314126064476,0.7547308995747627,yield_rev
157,3,rev,yield,86.19802058818684,6.372910241,1.9354972929999092,0.8043378017196401,yield_rev
158,3,rev,yield,344.5271468326665,5.847192048,2.537223447593815,0.7669473582492802,yield_rev
159,3,rev,yield,17.506410770160763,6.367607644,1.2431971145302607,0.8039762954181515,yield_rev
160,3,rev,yield,92.22775909395637,6.473823045,1.9648616564860626,0.8111608242555642,yield_rev
161,3,rev,yield,65.22157986092543,6.482180053,1.8143913145032413,0.8117210900930332,yield_rev
162,3,rev,yield,449.6975066807703,6.537553747,2.652920479656479,0.8154152723425686,yield_rev
163,3,rev,yield,460.71145848546047,6.020889536,2.6634290138483423,0.7796606593702887,yield_rev
164,3,rev,yield,74.68053090472516,6.249569824,1.873207396692319,0.7958501246252454,yield_rev
